db,nodes,workload,phase,metric,mean,std,n
cassandra,3,a,load,throughput,64.8039543909481,1.8978381777523625,10
cassandra,3,a,load,runtime_ms,15444.6,459.26619731915827,10
cassandra,3,a,load,insert_avg,2331.8323,415.6555686907249,10
cassandra,3,a,load,insert_95,3381.2,668.6550381175633,10
cassandra,3,a,load,avg_latency_global,2331.8323,415.6555686907249,10
cassandra,3,a,load,p95_global,3381.2,668.6550381175633,10
cassandra,3,a,run,throughput,65.49559328858722,2.4349117498625374,10
cassandra,3,a,run,runtime_ms,15290.7,605.5714738988288,10
cassandra,3,a,run,read_avg,2157.7952256786884,575.6880457224653,10
cassandra,3,a,run,update_avg,2191.3078468285307,603.8499215567383,10
cassandra,3,a,run,read_95,3322.0,1430.6139241598341,10
cassandra,3,a,run,update_95,3526.4,1741.3969220140477,10
cassandra,3,a,run,avg_latency_global,2174.55153625361,588.4483989856885,10
cassandra,3,a,run,p95_global,3424.2,1585.3135841214507,10
cassandra,3,b,load,throughput,66.54870663686238,1.7713542426749513,10
cassandra,3,b,load,runtime_ms,15038.0,428.7910913253679,10
cassandra,3,b,load,insert_avg,1971.61,404.6213186704329,10
cassandra,3,b,load,insert_95,2944.8,1420.5087680123625,10
cassandra,3,b,load,avg_latency_global,1971.61,404.6213186704329,10
cassandra,3,b,load,p95_global,2944.8,1420.5087680123625,10
cassandra,3,b,run,throughput,67.84876152500566,2.6022458837983304,10
cassandra,3,b,run,runtime_ms,14762.7,626.8806983788861,10
cassandra,3,b,run,read_avg,1668.5397254271563,662.4690311926997,10
cassandra,3,b,run,update_avg,2072.0315688495853,204.0246834112185,10
cassandra,3,b,run,read_95,2477.3,1185.4870771121884,10
cassandra,3,b,run,update_95,4068.6,529.9402230440712,10
cassandra,3,b,run,avg_latency_global,1688.7143175982776,636.2819835828326,10
cassandra,3,b,run,p95_global,2556.865,1146.780346895167,10
cassandra,3,c,load,throughput,66.97037123710825,0.49525102782551367,10
cassandra,3,c,load,runtime_ms,14932.8,111.37935176683334,10
cassandra,3,c,load,insert_avg,1884.7492000000002,90.85089355399867,10
cassandra,3,c,load,insert_95,2615.0,159.9074732462495,10
cassandra,3,c,load,avg_latency_global,1884.7492000000002,90.85089355399867,10
cassandra,3,c,load,p95_global,2615.0,159.9074732462495,10
cassandra,3,c,run,throughput,69.3822800221146,0.1807477461065073,10
cassandra,3,c,run,runtime_ms,14413.0,37.63243282064023,10
cassandra,3,c,run,read_avg,1384.2257000000002,20.69484160871985,10
cassandra,3,c,run,read_95,1953.4,51.948435972606525,10
cassandra,3,c,run,avg_latency_global,1384.2257000000002,20.69484160871985,10
cassandra,3,c,run,p95_global,1953.4,51.948435972606525,10
mongo,3,a,load,throughput,156.74913174646377,6.499219041705959,10
mongo,3,a,load,runtime_ms,6390.6,265.11099562258823,10
mongo,3,a,load,insert_avg,5744.772000000001,279.45994579832006,10
mongo,3,a,load,insert_95,8954.2,943.5130947686947,10
mongo,3,a,load,avg_latency_global,5744.772000000001,279.45994579832006,10
mongo,3,a,load,p95_global,8954.2,943.5130947686947,10
mongo,3,a,run,throughput,260.7465327071015,11.387318107241276,10
mongo,3,a,run,runtime_ms,3842.4,166.36958856714168,10
mongo,3,a,run,read_avg,1421.2630121004208,127.72276026155427,10
mongo,3,a,run,update_avg,5086.193681997847,296.1678136419876,10
mongo,3,a,run,read_95,1960.8,233.4634018427728,10
mongo,3,a,run,update_95,7242.2,770.2338346242652,10
mongo,3,a,run,avg_latency_global,3253.728347049134,149.296166939728,10
mongo,3,a,run,p95_global,4601.5,455.99566883908005,10
mongo,3,b,load,throughput,164.67362138202805,9.494019811371741,10
mongo,3,b,load,runtime_ms,6093.5,362.6392835863208,10
mongo,3,b,load,insert_avg,5500.4884,331.3906717586359,10
mongo,3,b,load,insert_95,8190.2,1009.5825672029009,10
mongo,3,b,load,avg_latency_global,5500.4884,331.3906717586359,10
mongo,3,b,load,p95_global,8190.2,1009.5825672029009,10
mongo,3,b,run,throughput,459.52949300024386,54.29856263224475,10
mongo,3,b,run,runtime_ms,2215.7,338.4544430200319,10
mongo,3,b,run,read_avg,1347.9284876042568,165.84186862540912,10
mongo,3,b,run,update_avg,6120.223200904331,1222.598192134859,10
mongo,3,b,run,read_95,2043.3,368.78558811320164,10
mongo,3,b,run,update_95,8295.8,1377.9286483704445,10
mongo,3,b,run,avg_latency_global,1586.5432232692604,206.5105252753168,10
mongo,3,b,run,p95_global,2355.925,404.585137671912,10
mongo,3,c,load,throughput,152.08274941510967,8.120306295152941,10
mongo,3,c,load,runtime_ms,6593.9,347.35873387608956,10
mongo,3,c,load,insert_avg,5887.6867999999995,294.87347622795784,10
mongo,3,c,load,insert_95,8924.2,670.741798309901,10
mongo,3,c,load,avg_latency_global,5887.6867999999995,294.87347622795784,10
mongo,3,c,load,p95_global,8924.2,670.741798309901,10
mongo,3,c,run,throughput,463.9259500743492,40.3793086964858,10
mongo,3,c,run,runtime_ms,2171.8,187.9296676951247,10
mongo,3,c,run,read_avg,1537.2151,155.41322404316182,10
mongo,3,c,run,read_95,2346.6,372.9000402252593,10
mongo,3,c,run,avg_latency_global,1537.2151,155.41322404316182,10
mongo,3,c,run,p95_global,2346.6,372.9000402252593,10
mongo,5,a,load,throughput,111.97713102959736,3.7770048927383644,10
mongo,5,a,load,runtime_ms,8940.3,293.90476348640556,10
mongo,5,a,load,insert_avg,8290.6883,284.498201470607,10
mongo,5,a,load,insert_95,13498.2,927.8841306973625,10
mongo,5,a,load,avg_latency_global,8290.6883,284.498201470607,10
mongo,5,a,load,p95_global,13498.2,927.8841306973625,10
mongo,5,a,run,throughput,182.12716312400516,8.05760517545427,10
mongo,5,a,run,runtime_ms,5501.9,254.13793498806902,10
mongo,5,a,run,read_avg,1927.3388770050183,212.78286963001804,10
mongo,5,a,run,update_avg,7801.299557702543,282.7503767384188,10
mongo,5,a,run,read_95,3785.0,468.0008547000742,10
mongo,5,a,run,update_95,12143.8,953.2324795137857,10
mongo,5,a,run,avg_latency_global,4864.319217353781,218.0196321664084,10
mongo,5,a,run,p95_global,7964.4,608.8290728932053,10
mongo,5,b,load,throughput,110.98662639727574,4.530017271899331,10
mongo,5,b,load,runtime_ms,9026.0,389.87279976936065,10
mongo,5,b,load,insert_avg,8349.442799999999,287.42662988554133,10
mongo,5,b,load,insert_95,13323.0,848.7562665453493,10
mongo,5,b,load,avg_latency_global,8349.442799999999,287.42662988554133,10
mongo,5,b,load,p95_global,13323.0,848.7562665453493,10
mongo,5,b,run,throughput,379.8157413593229,19.146624269102894,10
mongo,5,b,run,runtime_ms,2639.9,139.9531707393584,10
mongo,5,b,run,read_avg,1685.5375108920198,65.27036179401235,10
mongo,5,b,run,update_avg,8551.9482288959,980.5473102954894,10
mongo,5,b,run,read_95,3075.6,424.7230156231235,10
mongo,5,b,run,update_95,12675.8,2584.5106616146895,10
mongo,5,b,run,avg_latency_global,2028.858046792214,92.79776167079476,10
mongo,5,b,run,p95_global,3555.6099999999997,505.8046647669434,10
mongo,5,c,load,throughput,95.66909965090412,15.281973838248376,10
mongo,5,c,load,runtime_ms,10833.4,2422.1292781352527,10
mongo,5,c,load,insert_avg,10138.571800000002,2400.2914272732305,10
mongo,5,c,load,insert_95,18810.2,10270.527121818042,10
mongo,5,c,load,avg_latency_global,10138.571800000002,2400.2914272732305,10
mongo,5,c,load,p95_global,18810.2,10270.527121818042,10
mongo,5,c,run,throughput,382.5838157319796,27.16825475383711,10
mongo,5,c,run,runtime_ms,2628.9,213.38202829666795,10
mongo,5,c,run,read_avg,1944.9679,160.0318416106307,10
mongo,5,c,run,read_95,3627.8,459.42503196930835,10
mongo,5,c,run,avg_latency_global,1944.9679,160.0318416106307,10
mongo,5,c,run,p95_global,3627.8,459.42503196930835,10
